Product,Code,Category,MRP,Ready stock,B2B cost 1-4 nos,B2B cost 5+ nos,B2B cost 51+ pcs,Your corporate price
Century Wallet With Luxury Roller Pen,AC018121-1 & AC990003-1,Corporate Gift Sets,4999.0,110,1650.0,1400.0,,
CROSS Titanium Black W/Chrome Ballpoint Pen,AT0782-1,Pens & Highlighters,1695.0,16,,1437.0,935.0,
Overflap Wallet With Reversible Belt,AC238125-1 & STR100055 & BUC00056,Corporate Gift Sets,4999.0,140,1450.0,1300.0,,
CROSS Titanium Grey W/Chrome Ballpoint Pen,AT0782-2,Pens & Highlighters,1695.0,10,,1437.0,935.0,
Men's Wallet With Women's Wallet,AC1268072_2-1 & AC79110437_6-1,Corporate Gift Sets,3899.0,480,1500.0,1200.0,,
CROSS Plano Everyday A5 Planner With Agenda Pen,A5 Planner & AC990001-1,Corporate Gift Sets,5899.0,0,1750.0,1500.0,,
Riontin - CR PU Luggage Tag - Black + Classic Century Lite Passport Holder - Black With Matching Box,ACP157710864-1 + ACP6918173-1,Travel Accessories,2999.0,40,1100.0,799.0,,
Riontin - CR PU Luggage Tag - Dark Brown + Classic Century Lite Passport Holder - Dark Brown With Matching Box,ACP157710864-318 + ACP6918173-318,Travel Accessories,2999.0,0,1100.0,799.0,,
Riontin - CR PU Luggage Tag - Navy + Classic Century Lite Passport Holder - Navy With Matching Box,ACP6918173-5 + ACP157710864- 5,Travel Accessories,2999.0,75,1100.0,799.0,,
Tristo Lite Card Case - Black + Agenda Pen,ACP162410826-1 +  AC990001-1,Corporate Gift Sets,4199.0,180,1400.0,1100.0,,
Tristo Lite Card Case - Dark Brown + Agenda Pen,ACP162410826-318 + AC990001-1,Corporate Gift Sets,4199.0,105,1400.0,1100.0,,
Tristo Lite Card Case - Navy + Agenda Pen,ACP162410826- 5 + AC990001-1,Corporate Gift Sets,4199.0,0,1400.0,1100.0,,
"Gotham 15"" Slim Briefcase - Black",AC4292780_6-1,Briefcases,5499.0,25,1750.0,1600.0,,
Croco Classy Briefcase - Brown,AC8594565-3,Briefcases,5899.0,190,1600.0,1450.0,,
Jiloz Prime Briefcase - Black (With Trolley Strap),AC9953320_6M-1,Briefcases,5499.0,180,1560.0,1400.0,,
Jiloz Prime Briefcase Navy With Trolley Strap,ACP11313320-5,Briefcases,5499.0,15,1560.0,1400.0,,
Jiloz Prime Briefcase - Brown,ACP11313320-3,Briefcases,5499.0,5,1560.0,1400.0,,
"High Volt 14"" Briefcase - Brown",AC4282782_6-3,Briefcases,5499.0,0,1560.0,1400.0,,
"High Volt 14"" Briefcase - Black",AC4282782_6-1,Briefcases,5499.0,220,1560.0,1400.0,,
"Asgard 14"" Slim Briefcase - Black",AC4272754_6-1,Briefcases,5499.0,200,1750.0,1500.0,,
Walmer CR Briefcase 15 Inch - Black (With Box),ACP14435759-1,Briefcases,6499.0,275,2300.0,1950.0,,
Walmer CR Briefcase 15 Inch - Brown (With Box),ACP14435759-3,Briefcases,6499.0,5,2300.0,1950.0,,
Walmer CR Briefcase 15 Inch - Navy (With Box),ACP14435759-5,Briefcases,6499.0,285,2300.0,1950.0,,
Racie Laptop Sleeve With Luggage Strap And Handle - Black,ACP14356062-1,Laptop Bags & Sleeves,2499.0,1380,975.0,750.0,,
Racie CR Laptop Sleeve With Luggage Strap And Handle - Brown,ACP14356062-3,Laptop Bags & Sleeves,2499.0,770,975.0,750.0,,
Rianton 14 Briefcase - Black,ACP15426308-1,Briefcases,2999.0,2,1200.0,975.0,,
Rianton 14 Briefcase - Brown,ACP15426308-3,Briefcases,2999.0,10,1200.0,975.0,,
"CROSS Bradbury 15"" Briefcase - Black",AC3022541_5-1,Briefcases,5999.0,5,2100.0,1700.0,,
CROSS Customize Box,,Corporate Gift Sets,,260,200.0,200.0,,
CROSS Volt Small Cross Body - Black,AC1862624_5-1,Bags & Backpacks,3899.0,0,950.0,800.0,,
High Volt Small Cross Body Bag - Black,AC4281338_6-1,Bags & Backpacks,3599.0,2465,900.0,800.0,,
Planey Sling Bag For Women,ACP10733418-40,Bags & Backpacks,3699.0,31,840.0,700.0,,
Limen SF Slim Wallet Black,AC15958121-1,Wallets,1999.0,270,600.0,450.0,,
Limen SF Slim Wallet Brown,AC15958121-3,Wallets,1999.0,0,600.0,450.0,,
Croco Liten Slim Wallet Black,AC15948121-1,Wallets,1999.0,525,600.0,450.0,,
Croco Liten Slim Wallet - Navy Blue,AC15948121-5,Wallets,999.0,665,600.0,450.0,,
